Company,CARE_Date,CARE_Days,CARE_Instrument,CARE_Rating,CARE_Urgency,CRISIL_Date,CRISIL_Days,CRISIL_Instrument,CRISIL_Rating,CRISIL_Urgency,Worst_Urgency,Max_Days,Current_Rater,Why_Target,ACER_Pitch
Med Freshe Pvt. Ltd.,2026-04-21,61.0,Letter Of credit,A 4,LOW,2026-02-26,115.0,Letter Of credit,A 4,WARM,WARM,115.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
S R M Motors Pvt. Ltd.,2026-03-02,111.0,Term loans,BB-,WARM,2026-02-27,114.0,Fund based financial facility/instrument,B,WARM,WARM,114.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
T C Motors Pvt. Ltd.,2026-04-08,74.0,Fund based financial facility/instrument,B-,LOW,2026-02-28,113.0,Fund based financial facility/instrument,B,WARM,WARM,113.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Sree Astalaxmi Spinning Mills Pvt. Ltd.,2026-04-08,74.0,Term loans,B-,LOW,2026-02-28,113.0,Long term Loans,B,WARM,WARM,113.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
R B Rungta Steels & Food Products Pvt. Ltd.,2026-03-05,108.0,Term loans,B-,WARM,2026-03-31,82.0,Fund based financial facility/instrument,B,LOW,WARM,108.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Anand Motor Agencies Ltd.,2026-04-10,72.0,Fund based financial facility/instrument,B+,LOW,2026-03-17,96.0,Fund based financial facility/instrument,B,WARM,WARM,96.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Gama Infraprop Pvt. Ltd.,2026-03-23,90.0,Bank Guarantee,A 4,WARM,2026-04-23,59.0,Bank Guarantee,A 4,LOW,WARM,90.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
N V Kharote Constructions Pvt. Ltd.,2026-04-10,72.0,Bank Guarantee,D,LOW,2026-03-25,88.0,Bank Guarantee,D,LOW,WARM,88.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
S V E Drilling Tools Pvt. Ltd.,2026-04-28,54.0,Term loans,B-,LOW,2026-03-31,82.0,Letter Of credit,B,LOW,WARM,82.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Arya Steels Rolling (India) Pvt. Ltd.,2026-04-10,72.0,Bank Guarantee,BB-,LOW,2026-04-21,61.0,Letter Of credit,A 4,LOW,WARM,72.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Natraj Electro Casting Pvt. Ltd.,2026-04-14,68.0,Bank Guarantee,A 4,LOW,2026-04-24,58.0,Bank Guarantee,A 4,LOW,WARM,68.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Mittapally Agro Products Pvt. Ltd.,2026-04-14,68.0,Non-government debt,D,LOW,2026-04-24,58.0,Bank Guarantee,D,LOW,WARM,68.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Nimbus Motors Pvt. Ltd.,2026-04-23,59.0,Fund based financial facility/instrument,C,LOW,2026-04-22,60.0,Fund based financial facility/instrument,B+,HOT,WARM,60.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
S M Interior Pvt. Ltd.,2026-04-28,54.0,Bank Guarantee,D,LOW,2026-04-29,53.0,Bank Guarantee,D,LOW,WARM,54.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
