Infomerics Name,d365 Name,Infomerics Normalized,d365 Normalized,Match Score,Match Quality,INF Instrument,INF Rating,INF Rating Date,INF Urgency,Sector,d365 Agency,d365 Instrument,d365 Rating,d365 Rating Date,d365 Urgency,d365 INC,Why Target
Skyway RMC Plants Private Limited,Skyway R M C Plants Pvt. Ltd.,SKYWAY RMC PLANTS,SKYWAY R M C PLANTS,83.33333333333334,MEDIUM,Long Term Bank Facilities,IVR BBB (Assigned),2025-02-28,HIGH,Other/Unknown,ACUITE,Letter Of credit,A 4+,2025-12-23,LOW,Y,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Shelar Properties Private Limited,Shanders Properties Pvt. Ltd.,SHELAR PROPERTIES,SHANDERS PROPERTIES,83.33333333333334,MEDIUM,Long Term Facilities,IVR BBB- (Reaffirmed),2025-05-09,HIGH,Other/Unknown,BRICKWORK,Term loans,C,2025-09-01,MEDIUM,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Yazdani International Private Limited,Adani Enterprises Ltd.,YAZDANI,ADANI,83.33333333333334,MEDIUM,Long Term Bank Facilities,Withdrawn,2025-12-23,LOW,Other/Unknown,CARE,Long term Loans,AA-,2025-12-23,LOW,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Ishwar Ispat Industries Private Limited,Akshar Ispat Ltd.,ISHWAR ISPAT,AKSHAR ISPAT,83.33333333333334,MEDIUM,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),2025-07-30,MEDIUM,Other/Unknown,CRISIL,Bank Guarantee,A 4+,2025-10-17,MEDIUM,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
GTN Textiles Limited,F T Textiles Pvt. Ltd.,GTN TEXTILES,F T TEXTILES,83.33333333333334,MEDIUM,Short Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-09-08,MEDIUM,Textiles,BRICKWORK,Term loans,BB-,2026-03-13,LOW,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Jaideepraj Infrastructure Private Limited,Rajinder Infrastructure Pvt. Ltd.,JAIDEEPRAJ INFRASTRUCTURE,RAJINDER INFRASTRUCTURE,83.33333333333334,MEDIUM,Long Term Fund-Based Bank Facilities,IVR BBB- (Assigned),2025-02-21,HIGH,Infrastructure,ACUITE,Bank Guarantee,A 4,2026-04-13,LOW,Y,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Sri Pavithra Constructions,Prahitha Constructions Pvt. Ltd.,SRI PAVITHRA CONSTRUCTIONS,PRAHITHA CONSTRUCTIONS,83.33333333333334,MEDIUM,Long-Term/Short-Term Bank Facilities,IVR BB/IVR A4; (Upgraded/Reaffirmed),2024-12-03,HIGH,Construction,ICRA,Term loans,A,2025-05-26,HIGH,N,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
India Land Infrastructure Development Private Limited,Oak Infrastructure Developers Pvt. Ltd.,LAND INFRASTRUCTURE DEVELOPMENT,OAK INFRASTRUCTURE DEVELOPERS,83.33333333333334,MEDIUM,Long Term Facilities,IVR AA- (Reaffirmed & Withdrawn),2025-01-22,HIGH,Infrastructure,ICRA,Non-government debt,AAA,2025-11-04,MEDIUM,N,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
Fable Food Products Private Limited,B P Food Products Pvt. Ltd.,FABLE FOOD PRODUCTS,B P FOOD PRODUCTS,83.33333333333334,MEDIUM,Long Term Bank Facilities,IVR BB+ (INC) (Downgraded),2025-11-28,MEDIUM,Agro/Food,ICRA,Non-fund-based financial facility/instrument,D,2026-03-05,LOW,Y,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
Hind Unitrade Private Limited,Hind Tradex Ltd.,HIND UNITRADE,HIND TRADEX,83.33333333333334,MEDIUM,Long Term Bank Facilities,IVR BBB- (Upgraded),2025-09-05,MEDIUM,Trading,BRICKWORK,Non-government debt,C/A4,2026-03-04,LOW,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Kaypee Enterprises,Kaytee Corporation Pvt. Ltd.,KAYPEE,KAYTEE,83.33333333333334,MEDIUM,Long Term Fund Based Facilities Term Loan,IVR BBB- (Reaffirmed and Withdrawn),2018-12-17,HIGH,Other/Unknown,BRICKWORK,Letter Of credit,A 4,2026-03-24,LOW,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Dharni Sugar Mill Private Limited,Dhampur Sugar Mills Ltd.,DHARNI SUGAR MILL,DHAMPUR SUGAR MILLS,83.33333333333334,MEDIUM,Long Term Bank Facilities,IVR BB (Reaffirmed),2026-01-29,LOW,Agro/Food,IND-RA,Non-government debt,AA-/A1+,2025-11-14,MEDIUM,N,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Tassos Construction Private Limited,Mago Construction Pvt. Ltd.,TASSOS CONSTRUCTION,MAGO CONSTRUCTION,83.33333333333334,MEDIUM,Long Term Bank Facilities,IVR D (INC)(Downgraded),2025-04-04,HIGH,Construction,BRICKWORK,Term loans,BB-,2026-03-25,LOW,N,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Palghar Road Project Private Limited (PRPPL),Palghar Road Project Pvt. Ltd.,PALGHAR ROAD PROJECT  (PRPPL),PALGHAR ROAD PROJECT,83.33333333333334,MEDIUM,Long Term Fund based facilities Proposed Term Loan,Withdrawn,2022-03-24,HIGH,Infrastructure,ACUITE,Term loans,A-,2025-08-14,MEDIUM,N,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Khem Traders,Emil Traders Pvt. Ltd.,KHEM TRADERS,EMIL TRADERS,83.33333333333334,MEDIUM,Long Term Bank Facility,IVR BB- (Assigned),2025-02-19,HIGH,Trading,CRISIL,Fund based financial facility/instrument,B,2026-03-12,LOW,Y,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Val met Engineering Private Limited,Mutha Engineering Pvt. Ltd.,VAL MET ENGINEERING,MUTHA ENGINEERING,83.33333333333334,MEDIUM,Long Term Bank Facilities- Fund Based,Withdrawn,2024-10-10,HIGH,Other/Unknown,CARE,Term loans,BB-,2026-04-16,LOW,Y,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
AKS Ventures Private Limited,A G Ventures Ltd.,AKS VENTURES,A G VENTURES,83.33333333333334,MEDIUM,Long Term Bank Facilities,IVR BBB (Assigned),2025-12-16,LOW,Other/Unknown,ICRA,Non-government debt,A-/A2+,2025-08-18,MEDIUM,N,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
Rana Sugars Limited,Mawana Sugars Ltd.,RANA SUGARS,MAWANA SUGARS,83.33333333333334,MEDIUM,Long Term Facilities,IVR BBB- (Reaffirmed),2025-12-10,MEDIUM,Agro/Food,ICRA,Non-government debt,BBB+/A2,2026-04-06,LOW,N,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
M V Agrotech Private Limited,B R Agrotech Ltd.,M V AGROTECH,B R AGROTECH,83.33333333333334,MEDIUM,Long Term Bank Facilities,IVR BBB- (Assigned),2025-01-02,HIGH,Agro/Food,CARE,Bank Guarantee,A 1+,2025-12-23,LOW,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Bindra Steel Private Limited,Jindal Steel Ltd.,BINDRA STEEL,JINDAL STEEL,83.33333333333334,MEDIUM,Long Term Facilities,IVR BB+ (INC)(Downgraded),2025-11-17,MEDIUM,Steel & Metals,ICRA,Non-fund-based financial facility/instrument,A 1+,2025-10-10,MEDIUM,N,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
Mantra Industries Limited,Yantra India Ltd.,MANTRA,YANTRA,83.33333333333334,MEDIUM,Short Term Facilities,IVR A3 (Assigned),2024-12-27,HIGH,Other/Unknown,CARE,Non-government debt,AA+/A1+,2025-10-06,MEDIUM,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
SMS Lifesciences India Limited,Synokem Lifesciences Pvt. Ltd.,SMS LIFESCIENCES,SYNOKEM LIFESCIENCES,83.33333333333334,MEDIUM,Update,-,2025-08-29,MEDIUM,Other/Unknown,CRISIL,Term loans,BBB-,2025-09-18,MEDIUM,Y,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Land Trades Builders & Developers,Dutta Builders & Developers Pvt. Ltd.,LAND TRADES BUILDERS & DEVELOPERS,DUTTA BUILDERS & DEVELOPERS,83.33333333333334,MEDIUM,Long Term Bank Facilities,IVR BBB- (Assigned),2025-07-15,MEDIUM,Construction,IND-RA,Term loans,B-,2025-08-21,MEDIUM,Y,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Ranka Properties Private Limited,Rajputana Properties Pvt. Ltd.,RANKA PROPERTIES,RAJPUTANA PROPERTIES,83.33333333333334,MEDIUM,Long Term Facilities,IVR BBB- (Assigned),2025-08-18,MEDIUM,Other/Unknown,ICRA,Non-fund-based financial facility/instrument,A 1+,2025-09-30,MEDIUM,N,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
Rikhav Securities Limited,Rakhecha Securities Ltd.,RIKHAV SECURITIES,RAKHECHA SECURITIES,83.33333333333334,MEDIUM,Short Term Bank Facilities â€“ Non-Fund Based,IVR A3 (Assigned),2026-01-12,LOW,Other/Unknown,ICRA,Non-government debt,BB/A4+,2026-04-09,LOW,N,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
SVG Exports Private Limited,S V G Exports Pvt. Ltd.,SVG EXPORTS,S V G EXPORTS,83.33333333333334,MEDIUM,Short Term Bank Facilities,Withdrawn,2024-07-23,HIGH,Infrastructure,BRICKWORK,Term loans,B+,2025-07-18,MEDIUM,N,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
ASM Industries (India) Private Limited,Oam Industries (India) Pvt. Ltd.,ASM  (),OAM  (),83.33333333333334,MEDIUM,Short Term Non-Fund Based Bank Facilities - Forward Contract,IVR A4 (Reaffirmed),2025-02-21,HIGH,Other/Unknown,CRISIL,Term loans,AA-,2025-07-25,MEDIUM,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
PCI Cables Industries Private Limited,Special Cables Pvt. Ltd.,PCI CABLES,SPECIAL CABLES,83.33333333333334,MEDIUM,Short Term Bank Facilities,IVR A3+ (Upgraded),2025-08-06,MEDIUM,Other/Unknown,BRICKWORK,Non-fund-based financial facility/instrument,A 3+,2026-02-11,LOW,N,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Unique Construction,Puri Construction Pvt. Ltd.,UNIQUE CONSTRUCTION,PURI CONSTRUCTION,83.33333333333334,MEDIUM,Long Term Bank Facilities,IVR BBB- (INC)(Downgraded),2025-09-08,MEDIUM,Construction,ICRA,Bank Guarantee,A 4+,2026-04-10,LOW,Y,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
Matarani Resources Private Limited,Maharaja Resources Pvt. Ltd.,MATARANI RESOURCES,MAHARAJA RESOURCES,83.33333333333334,MEDIUM,Long Term Bank Facilities,IVR BBB (Assigned),2025-04-15,HIGH,Other/Unknown,IND-RA,Term loans,B-,2025-09-11,MEDIUM,Y,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Mutha Motors,Simha Motors Pvt. Ltd.,MUTHA MOTORS,SIMHA MOTORS,83.33333333333334,MEDIUM,Long Term Bank Facilities,IVR BB (Assigned),2025-06-19,MEDIUM,Other/Unknown,CARE,Term loans,BB-,2025-11-27,MEDIUM,Y,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Millennium Suppliers Private Limited,Millenium Papers Pvt. Ltd.,MILLENNIUM SUPPLIERS,MILLENIUM PAPERS,83.33333333333334,MEDIUM,Short Term Facilities,IVR D (Downgraded),2025-01-17,HIGH,Other/Unknown,CARE,Letter Of credit,A 4,2026-04-02,LOW,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Prestige Properties,Prestige Projects Pvt. Ltd.,PRESTIGE PROPERTIES,PRESTIGE PROJECTS,83.33333333333334,MEDIUM,Long Term Fund Based Bank Facilities,IVR BB+ (INC)(Downgraded),2025-05-16,HIGH,Other/Unknown,ICRA,Term loans,A,2025-12-31,LOW,N,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
SRC Company Infra Private Limited,S R C Company Infra Pvt. Ltd.,SRC COMPANY INFRA,S R C COMPANY INFRA,83.33333333333334,MEDIUM,Short Term Facilities,IVR A4+ (INC) (Downgraded),2025-11-28,MEDIUM,Infrastructure,CARE,Non-government debt,BBB+/A 3+,2026-03-12,LOW,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Royalcare Super Speciality Hospital Limited,Palaparthi Super Speciality Hospitals Pvt. Ltd.,ROYALCARE SUPER SPECIALITY HOSPITAL,PALAPARTHI SUPER SPECIALITY HOSPITALS,83.33333333333334,MEDIUM,Long Term Bank Facilities,IVR BBB (Upgraded),2025-08-04,MEDIUM,Healthcare,CARE,Term loans,BBB+,2025-09-29,MEDIUM,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Vinci Global Private Limited,Vrion Global Pvt. Ltd.,VINCI GLOBAL,VRION GLOBAL,83.33333333333334,MEDIUM,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-02-21,HIGH,Other/Unknown,CARE,Non-fund-based financial facility/instrument,A 4,2025-12-23,LOW,Y,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
GRV Spintex Private Limited,G M R Spintex Pvt. Ltd.,GRV SPINTEX,G M R SPINTEX,83.33333333333334,MEDIUM,Long Term Bank Facilities,IVR BBB- (Assigned),2025-12-18,LOW,Other/Unknown,CRISIL,Long term Loans,D,2025-05-23,HIGH,Y,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
VFS Capital Limited,Capital Foods Pvt. Ltd.,VFS CAPITAL,CAPITAL FOODS,83.33333333333334,MEDIUM,Proposed Fund Based - Long Term Bank Facilities,IVR D (INC) (Downgraded),2025-11-21,MEDIUM,BFSI,ICRA,Non-government debt,AA+/A1+,2025-12-17,LOW,N,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
Jaswant Singh Oberoi Construction Private Limited,Jaswantsingh Oberoi Construction Pvt. Ltd.,JASWANT SINGH OBEROI CONSTRUCTION,JASWANTSINGH OBEROI CONSTRUCTION,83.07692307692307,MEDIUM,Long Term Bank Facilities,IVR BBB- (Assigned),2025-09-15,MEDIUM,Construction,ACUITE,Bank Guarantee,A 4+,2025-11-20,MEDIUM,Y,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Kashmir Steel Rolling Mills,Advait Steel Rolling Mills Pvt. Ltd.,KASHMIR STEEL ROLLING MILLS,ADVAIT STEEL ROLLING MILLS,83.01886792452831,MEDIUM,Long Term Bank Facilities,IVR BBB- (Assigned),2024-08-16,HIGH,Steel & Metals,CRISIL,Term loans,D,2025-05-21,HIGH,Y,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Kashmir Steel Rolling Mills Limited,Advait Steel Rolling Mills Pvt. Ltd.,KASHMIR STEEL ROLLING MILLS,ADVAIT STEEL ROLLING MILLS,83.01886792452831,MEDIUM,Long Term Bank Facilities,IVR BBB- (Reaffirmed),2025-11-12,MEDIUM,Steel & Metals,CRISIL,Term loans,D,2025-05-21,HIGH,Y,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Miraj Entertainment Limited,Mayajaal Entertainment Pvt. Ltd.,MIRAJ ENTERTAINMENT,MAYAJAAL ENTERTAINMENT,82.92682926829268,MEDIUM,Long Term Bank Facilities,IVR BB+ (Downgraded),2026-01-01,LOW,Other/Unknown,ICRA,Fund based financial facility/instrument,B+,2025-05-16,HIGH,N,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
Krazybee Services Private Limited (KSPL),Krazybee Services Ltd.,KRAZYBEE SERVICES  (KSPL),KRAZYBEE SERVICES,82.92682926829268,MEDIUM,Proposed Non-Convertible Debentures,Withdrawn,2021-08-24,HIGH,Other/Unknown,ACUITE,Long term Loans,A+,2026-04-07,LOW,N,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Parva Balaji Projects,Balajikrupa Projects Pvt. Ltd.,PARVA BALAJI PROJECTS,BALAJIKRUPA PROJECTS,82.92682926829268,MEDIUM,Long Term Facilities,IVR BB- (INC)(Withdrawn),2026-02-06,LOW,Other/Unknown,CRISIL,Bank Guarantee,A 3+,2025-09-25,MEDIUM,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Vedika Credit Capital Limited,Dar Credit & Capital Ltd.,VEDIKA CREDIT CAPITAL,DAR CREDIT & CAPITAL,82.92682926829268,MEDIUM,Long Term Fund Based Bank Facilities â€“ Term Loans,Withdrawn,2025-12-24,LOW,BFSI,CARE,Term loans,BBB-,2026-01-06,LOW,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Best Capital Services Limited,A K Capital Services Ltd.,BEST CAPITAL SERVICES,A K CAPITAL SERVICES,82.92682926829268,MEDIUM,Long Term Fund Based Bank Facilities - Proposed,IVR BBB (Reaffirmed),2025-05-13,HIGH,BFSI,ACUITE,Long term Loans,AA-,2025-09-25,MEDIUM,N,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Elica Vitrified Private Limited,Mega Vitrified Pvt. Ltd.,ELICA VITRIFIED,MEGA VITRIFIED,82.75862068965517,MEDIUM,Long Term Bank Facilities,IVR BBB- (Reaffirmed),2024-12-30,HIGH,Other/Unknown,IND-RA,Non-government debt,B-/A4,2026-01-16,LOW,Y,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
County Projects Private Limited,Icoat Projects Pvt. Ltd.,COUNTY PROJECTS,ICOAT PROJECTS,82.75862068965517,MEDIUM,Short Term Bank Facilities,Withdrawn,2025-02-25,HIGH,Other/Unknown,CARE,Letter Of credit,D,2026-01-22,LOW,Y,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Khanday Projects Private Limited,Mana Projects Pvt. Ltd.,KHANDAY PROJECTS,MANA PROJECTS,82.75862068965517,MEDIUM,Long Term Bank Facilities,IVR BB- (Assigned),2025-05-07,HIGH,Other/Unknown,CARE,Term loans,BBB,2025-12-03,MEDIUM,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Jaguar Overseas Limited,Dugar Overseas Pvt. Ltd.,JAGUAR OVERSEAS,DUGAR OVERSEAS,82.75862068965517,MEDIUM,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-08-12,MEDIUM,Other/Unknown,CARE,Bank Guarantee,A 4,2025-12-23,LOW,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Assam Hospital Limited,Asarfi Hospital Ltd.,ASSAM HOSPITAL,ASARFI HOSPITAL,82.75862068965517,MEDIUM,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),2025-09-08,MEDIUM,Healthcare,CRISIL,Term loans,BBB-,2025-10-10,MEDIUM,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Rajshri Iron Industries Private Limited,Rajshri Iron Inds. Pvt. Ltd.,RAJSHRI IRON,RAJSHRI IRON INDS,82.75862068965517,MEDIUM,Long Term Bank Facilities,IVR BBB (Upgraded and Withdrawn),2025-09-26,MEDIUM,Steel & Metals,CRISIL,Bank Guarantee,A 2,2026-02-06,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Exim Logistics Private Limited,Exult Logistics Pvt. Ltd.,EXIM LOGISTICS,EXULT LOGISTICS,82.75862068965517,MEDIUM,Short Term Bank Facilities,IVR A3 (Upgraded),2025-12-08,MEDIUM,Logistics,CRISIL,Fund based financial facility/instrument,B,2025-10-20,MEDIUM,Y,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Siddhi Cotspin Limited,Varidhi Cotspin Pvt. Ltd.,SIDDHI COTSPIN,VARIDHI COTSPIN,82.75862068965517,MEDIUM,Short Term Bank Facilities,IVR A3+ (Upgraded),2025-04-22,HIGH,Other/Unknown,CARE,Bank Guarantee,D,2025-10-13,MEDIUM,Y,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Parinee Shelters Private Limited,Arun Shelters Pvt. Ltd.,PARINEE SHELTERS,ARUN SHELTERS,82.75862068965517,MEDIUM,Long Term Instrument - Proposed Non-Convertible Debentures,IVR D (INC)(Reaffirmed),2025-04-23,HIGH,Other/Unknown,CRISIL,Long term Loans,B,2026-01-12,LOW,Y,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Seeds and Grain India Private Limited,Seeds & Grains India Pvt. Ltd.,SEEDS AND GRAIN,SEEDS & GRAINS,82.75862068965517,MEDIUM,Short Term Bank Facilities,IVR A4+ (Assigned),2025-03-06,HIGH,Agro/Food,CARE,Non-government debt,BB/A4,2026-03-26,LOW,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Medica Hospitals Private Limited,Mak Hospitals Pvt. Ltd.,MEDICA HOSPITALS,MAK HOSPITALS,82.75862068965517,MEDIUM,Long Term Bank Facilities,Withdrawn,2025-08-11,MEDIUM,Healthcare,CARE,Term loans,B-,2026-03-05,LOW,Y,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Sonu Infratech Limited,Sobti Infratech Ltd.,SONU INFRATECH,SOBTI INFRATECH,82.75862068965517,MEDIUM,Long Term Bank Facilities,IVR BBB- (Assigned),2025-05-14,HIGH,Infrastructure,CARE,Non-government debt,BB+/A4+,2025-08-18,MEDIUM,Y,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
VVIP Infratech Limited,Tulip Infratech Pvt. Ltd.,VVIP INFRATECH,TULIP INFRATECH,82.75862068965517,MEDIUM,Short Term Bank Facilities,IVR A3+ (Upgraded),2025-03-12,HIGH,Infrastructure,CARE,Term loans,BBB+,2026-04-06,LOW,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
MVR Technology,Qlar Technology India Pvt. Ltd.,MVR TECHNOLOGY,QLAR TECHNOLOGY,82.75862068965517,MEDIUM,Short Term Facilities,IVR A4 (INC)(Reaffirmed),2025-03-17,HIGH,Other/Unknown,CARE,Non-government debt,BBB+/A2,2026-02-05,LOW,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Maharaja Ispat Private Limited,Mahamanav Ispat Pvt. Ltd.,MAHARAJA ISPAT,MAHAMANAV ISPAT,82.75862068965517,MEDIUM,Long Term Bank Facilities,IVR BBB- (Reaffirmed),2025-11-06,MEDIUM,Other/Unknown,CARE,Term loans,BB,2026-03-23,LOW,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Ambika Realtech,Ambika Realcon Pvt. Ltd.,AMBIKA REALTECH,AMBIKA REALCON,82.75862068965517,MEDIUM,Long Term Facilities,IVR BBB- (Assigned),2024-12-27,HIGH,Other/Unknown,IND-RA,Term loans,B-,2025-09-11,MEDIUM,Y,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Chennai Rice Industries India Private Limited,Chennai Rice Inds. India Pvt. Ltd.,CHENNAI RICE,CHENNAI RICE INDS,82.75862068965517,MEDIUM,Long Term Bank Facilities,IVR BBB,2025-10-09,MEDIUM,Agro/Food,BRICKWORK,Bank Guarantee,A 4,2025-05-27,HIGH,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Global Castings Private Limited,Oswal Castings Pvt. Ltd.,GLOBAL CASTINGS,OSWAL CASTINGS,82.75862068965517,MEDIUM,Short Term Bank Facilities,IVR A4+ (Upgraded and Withdrawn),2025-01-07,HIGH,Steel & Metals,CARE,Term loans,BBB,2025-09-03,MEDIUM,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Himenviro Environmental Engineering Company Private Limited,Himenviro Environmental Engg. Co. Pvt. Ltd.,HIMENVIRO ENVIRONMENTAL ENGINEERING COMPANY,HIMENVIRO ENVIRONMENTAL ENGG. CO,82.66666666666667,MEDIUM,Long Term Bank Facilities,IVR BBB (Reaffirmed),2026-01-05,LOW,Steel & Metals,CRISIL,Bank Guarantee,A 3+,2026-03-11,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Pushpdeep Infrastructure Private Limited,Sheetal Infrastructure Pvt. Ltd.,PUSHPDEEP INFRASTRUCTURE,SHEETAL INFRASTRUCTURE,82.6086956521739,MEDIUM,Short Term Facilities,IVR A3+ (Reaffirmed),2025-05-19,HIGH,Infrastructure,CARE,Term loans,BB+,2026-04-10,LOW,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Jaypee Capital Services Limited,Master Capital Services Ltd.,JAYPEE CAPITAL SERVICES,MASTER CAPITAL SERVICES,82.6086956521739,MEDIUM,Short Term Non-Fund Based Bank Facilities - Proposed,IVR A2 (Reaffirmed),2024-12-11,HIGH,BFSI,ICRA,Non-fund-based financial facility/instrument,A 2+,2025-12-09,MEDIUM,N,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
Shree Agro Crop Sciences Private Limited,Shri Ram Agro Sciences Pvt. Ltd.,SHREE AGRO CROP SCIENCES,SHRI RAM AGRO SCIENCES,82.6086956521739,MEDIUM,Long Term Facilities,IVR BB,2025-02-07,HIGH,Agro/Food,CARE,Term loans,B-,2025-10-31,MEDIUM,Y,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Shashiradha Cold Storage Private Limited,Ma Sarada Cold Storage Pvt. Ltd.,SHASHIRADHA COLD STORAGE,MA SARADA COLD STORAGE,82.6086956521739,MEDIUM,Long Term Bank Facilities,IVR C (INC)(Downgraded),2026-01-22,LOW,Other/Unknown,ICRA,Term loans,D,2026-04-09,LOW,Y,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
M P Engineering Constructions (India) Private Limited,Petron Engineering Construction Ltd.,M P ENGINEERING CONSTRUCTIONS (),PETRON ENGINEERING CONSTRUCTION,82.53968253968253,MEDIUM,Long Term / Short Term Bank Facilities - Overdraft,IVR BBB- / IVR A3; (Reaffirmed),2025-11-11,MEDIUM,Construction,IND-RA,Non-government debt,D,2025-12-19,LOW,Y,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Rukmini Educational Charitable Trust,Sri Srinivasa Educational & Charitable Trust,RUKMINI EDUCATIONAL CHARITABLE TRUST,SRI SRINIVASA EDUCATIONAL & CHARITABLE TRUST,82.5,MEDIUM,Short Term Bank Facilities,IVR A2 (Upgraded),2025-07-29,MEDIUM,Education,IND-RA,Term loans,A-,2025-06-10,HIGH,N,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
